Number of threads, Array size, Non-SIMD, SIMD, Mult speedup, Non-SIMD sum, SIMD sum, Sum speedup
   1    ,      4194304  ,    297.25     ,    940.40     ,  3.16 ,    326.47     ,   1567.60     ,  4.80
   2    ,      4194304  ,    542.75     ,   1123.88     ,  2.07 ,    662.27     ,   3331.48     ,  5.03
   3    ,      4194304  ,    859.97     ,   3549.91     ,  4.13 ,    956.19     ,   4740.46     ,  4.96
   4    ,      4194304  ,   1110.45     ,   5527.15     ,  4.98 ,   1279.48     ,   6423.32     ,  5.02
   6    ,      4194304  ,   1118.25     ,   6699.93     ,  5.99 ,   1819.68     ,   9085.59     ,  4.99
   8    ,      4194304  ,   2102.45     ,   8644.69     ,  4.11 ,   2381.09     ,  11873.36     ,  4.99
  12    ,      4194304  ,   1351.37     ,  11786.47     ,  8.72 ,   3428.18     ,  16984.78     ,  4.95
   1    ,      8388608  ,    315.86     ,    930.67     ,  2.95 ,    336.43     ,   1557.41     ,  4.63
   2    ,      8388608  ,    591.63     ,   1902.31     ,  3.22 ,    654.59     ,   3024.03     ,  4.62
   3    ,      8388608  ,    863.83     ,   2681.55     ,  3.10 ,    952.93     ,   4629.68     ,  4.86
   4    ,      8388608  ,   1097.27     ,   3027.82     ,  2.76 ,   1273.20     ,   6110.22     ,  4.80
   6    ,      8388608  ,   1114.87     ,   6868.65     ,  6.16 ,   1826.06     ,   9093.66     ,  4.98
   8    ,      8388608  ,   2059.80     ,   8804.45     ,  4.27 ,   2375.06     ,  11527.09     ,  4.85
  12    ,      8388608  ,   1307.18     ,  12466.75     ,  9.54 ,   3435.27     ,  17163.44     ,  5.00
